!def(FEAT_GUI_GTK),
!def(FEAT_EMACS_TAGS),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
True,
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_EMACS_TAGS),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(PROTO),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(FEAT_GUI),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(NBDEBUG),
