def(FEAT_CLIPBOARD),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(DEBUG),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(__BORLANDC__),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
!def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(NO_CONSOLE),
True,
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
