!def(INET_SOCKETS),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(__MINT__),
def(MAIN),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_GUI_W32),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
True,
def(WIN32),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(NBDEBUG),
def(_WIN32),
