!def(RISCOS),
def(WSDEBUG),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(DEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(EBCDIC),
def(__BORLANDC__),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(RISCOS),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
def(FEAT_GUI_W32),
