!def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(_WIN32),
def(FEAT_BEVAL),
def(MAIN),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(FEAT_JOB_CHANNEL),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
True,
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(PROTO),
!def(INET_SOCKETS),
