(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
!def(UNIX),
def(WIN32),
def(JUMPLIST_ROTATE),
def(UNIX),
!def(FEAT_BEVAL_GUI),
!def(FEAT_GUI_W32),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_PROFILE),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(FEAT_PROFILE),
def(ABORT_ON_INTERNAL_ERROR),
def(DEBUG),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
def(FEAT_BEVAL_GUI),
True,
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
def(MAIN),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
