!def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(RISCOS),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
!def(RISCOS),
def(EBCDIC),
def(WSDEBUG_TRACE),
!def(PROTO),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
def(__BORLANDC__),
!def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(EBCDIC),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(PROTO),
