!def(EBCDIC),
!def(FEAT_MBYTE),
def(FEAT_DND),
!def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
True,
!def(RISCOS),
!def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_CLIPBOARD),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(FEAT_FKMAP),
(!def(PROTO)&!def(__BORLANDC__)),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
