def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
True,
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(PROTO),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
