!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
def(PROTO),
def(MAIN),
def(WIN32),
def(LESSTIF_VERSION),
def(WSDEBUG),
