!def(RISCOS),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
True,
def(FEAT_BEVAL),
def(EBCDIC),
def(FEAT_GUI_W32),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
(!def(FEAT_BEVAL)&def(NOIME)),
(!def(PROTO)&!def(__BORLANDC__)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_DND),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(WSDEBUG_SENSE),
