!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
!def(PROTO),
!def(FEAT_MBYTE),
True,
!def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(PROTO),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
!def(NO_CONSOLE),
def(DEBUG),
