!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
def(PROTO),
def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
!def(PROTO),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
True,
def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_GUI),
