!def(INET_SOCKETS),
def(ABORT_ON_INTERNAL_ERROR),
def(FEAT_JOB_CHANNEL),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(WIN32),
def(FEAT_TERMRESPONSE),
def(MAIN),
!def(FEAT_BEVAL_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(PROTO),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG),
def(_WIN32),
def(FEAT_BEVAL_GUI),
True,
(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_PROFILE),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(DEBUG),
!def(FEAT_GUI_GTK),
