def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(RISCOS),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
def(PROTO),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
!def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(NBDEBUG),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
!def(RISCOS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
