!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
True,
!def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
def(_WIN32),
def(PROTO),
def(DEBUG),
def(WIN32),
def(FEAT_CLIPBOARD),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
!def(FEAT_GUI_GTK),
def(MAIN),
