!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(_WIN32),
def(WIN32),
def(JUMPLIST_ROTATE),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
!def(FEAT_GUI_GTK),
!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(__MINT__),
def(FEAT_FKMAP),
def(FEAT_FLOAT),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_SENSE),
True,
def(FEAT_BEVAL_GUI),
def(FEAT_MBYTE),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG),
