def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(MAIN),
!def(FEAT_GUI_GTK),
def(FEAT_PROFILE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(WSDEBUG),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__MINT__),
def(_WIN32),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
