!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(FEAT_EMACS_TAGS),
def(FEAT_CLIPBOARD),
!def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(WSDEBUG_SENSE),
True,
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
def(INET_SOCKETS),
def(FEAT_MBYTE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WIN32),
def(MAIN),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
