!def(PROTO),
def(FEAT_BEVAL),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_CLIPBOARD),
def(WSDEBUG),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
