!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(JUMPLIST_ROTATE),
def(WIN32),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
True,
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(_WIN32),
def(FEAT_TOOLBAR),
def(DEBUG),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__MINT__),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(WSDEBUG),
def(PROTO),
