!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
def(DEBUG),
True,
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(PROTO),
!def(FEAT_BEVAL),
def(NBDEBUG),
!def(PROTO),
