!def(PROTO),
!def(FEAT_BEVAL),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
True,
def(FEAT_MBYTE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(DEBUG),
def(FEAT_FKMAP),
def(FEAT_GUI_W32),
