!def(NO_CONSOLE),
def(PROTO),
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
True,
def(_WIN32),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(INET_SOCKETS),
def(DEBUG),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(WIN32),
