def(FEAT_BEVAL_GUI),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(_WIN32),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(FEAT_PROFILE),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
True,
!def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
