!def(NO_CONSOLE),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
True,
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(PROTO),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(WIN32),
def(FEAT_BEVAL),
def(MAIN),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
