(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(_WIN32),
def(MAIN),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(PROTO),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(WIN32),
def(FEAT_GUI_W32),
