def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(FEAT_CLIPBOARD),
def(DEBUG),
!def(PROTO),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(FEAT_FKMAP),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
True,
