!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(PROTO),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(DEBUG),
def(FEAT_PROFILE),
True,
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(WIN32),
