!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(INET_SOCKETS),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(WIN32),
def(LESSTIF_VERSION),
def(PROTO),
def(WSDEBUG),
def(WSDEBUG_SENSE),
True,
def(FEAT_GUI),
def(FEAT_BEVAL),
def(MAIN),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
