!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
!def(PROTO),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
True,
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
