!def(INET_SOCKETS),
def(FEAT_PROFILE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_TRACE),
def(NBDEBUG),
!def(FEAT_GUI_W32),
True,
def(WIN32),
def(FEAT_GUI_W32),
def(_WIN32),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(MAIN),
!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(FEAT_GUI),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
