(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(PROTO),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
def(INET_SOCKETS),
def(__MINT__),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(_WIN32),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(DEBUG),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
