!def(FEAT_PROFILE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(__MINT__),
def(LESSTIF_VERSION),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(_WIN32),
