!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(MAIN),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(__MINT__),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(FEAT_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(NBDEBUG),
!def(FEAT_PROFILE),
True,
def(WIN32),
def(FEAT_PROFILE),
def(INET_SOCKETS),
