!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
True,
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
def(DEBUG),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(WIN32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(__MINT__),
def(FEAT_TERMRESPONSE),
