!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(DEBUG),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
!def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(MAIN),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
True,
def(WIN32),
def(__MINT__),
