def(FEAT_BEVAL_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(__MINT__),
True,
def(NBDEBUG),
def(MAIN),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
!def(FEAT_PROFILE),
def(FEAT_FLOAT),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_JOB_CHANNEL),
def(WIN32),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(UNIX),
def(FEAT_PROFILE),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(PROTO),
!def(INET_SOCKETS),
!def(UNIX),
