!def(INET_SOCKETS),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(MAIN),
def(WSDEBUG_SENSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_GUI),
