!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
!def(FEAT_EMACS_TAGS),
def(FEAT_MBYTE),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(MCH_WRITE_DUMP),
!def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_EMACS_TAGS),
def(WSDEBUG),
def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
!def(PROTO),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
