!def(PROTO),
def(FEAT_EMACS_TAGS),
def(DEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
True,
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_GUI_GTK),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
!def(FEAT_EMACS_TAGS),
