def(FEAT_CLIPBOARD),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(PROTO),
def(INET_SOCKETS),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
True,
def(FEAT_TOOLBAR),
!def(PROTO),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(DEBUG),
