!def(PROTO),
def(PROTO),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
True,
!def(FEAT_GUI_GTK),
def(DEBUG),
