(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(DEBUG),
def(__MINT__),
def(WIN32),
def(MAIN),
def(FEAT_GUI),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(PROTO),
def(INET_SOCKETS),
True,
def(JUMPLIST_ROTATE),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
