!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
!def(FEAT_PROFILE),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TERMRESPONSE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(MAIN),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_PROFILE),
def(FEAT_BEVAL),
def(FEAT_CLIPBOARD),
def(WIN32),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(DEBUG),
