!def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(WSDEBUG),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(INET_SOCKETS),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
True,
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(NBDEBUG),
