!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_CLIPBOARD),
True,
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(PROTO),
def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_GUI),
!def(FEAT_RIGHTLEFT),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_BEVAL),
