!def(FEAT_RIGHTLEFT),
!def(PROTO),
def(FEAT_GUI_GTK),
True,
def(FEAT_MBYTE),
!def(EBCDIC),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(FEAT_FKMAP),
def(EBCDIC),
!def(FEAT_MBYTE),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(RISCOS),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(RISCOS),
def(WSDEBUG_SENSE),
def(FEAT_RIGHTLEFT),
def(PROTO),
