!def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
!def(FEAT_RIGHTLEFT),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(RISCOS),
!def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
def(EBCDIC),
def(PROTO),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(__BORLANDC__),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
(!def(HAVE_GTK2)&def(FEAT_GUI_GTK)),
!def(PROTO),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
True,
def(FEAT_TERMRESPONSE),
!def(RISCOS),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(DEBUG),
