!def(PROTO),
def(WSDEBUG_SENSE),
!def(FEAT_RIGHTLEFT),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
True,
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(PROTO),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
