!def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
def(FEAT_RIGHTLEFT),
def(FEAT_PROFILE),
def(_WIN32),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(__MINT__),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(PROTO),
def(DEBUG),
!def(UNIX),
def(MAIN),
!def(INET_SOCKETS),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(UNIX),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(FEAT_BEVAL_GUI),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
