def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(PROTO),
def(FEAT_MBYTE),
!def(PROTO),
def(NBDEBUG),
def(FEAT_GUI),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
