!def(PROTO),
def(FEAT_FKMAP),
!def(EBCDIC),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
!def(FEAT_MBYTE),
def(DEBUG),
True,
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(RISCOS),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
!def(RISCOS),
def(PROTO),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(EBCDIC),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
