!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(EBCDIC),
!def(EBCDIC),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_DND),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
!def(RISCOS),
def(FEAT_GUI_W32),
True,
def(WSDEBUG_SENSE),
(!def(FEAT_BEVAL)&def(NOIME)),
