def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
def(WIN32),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
def(PROTO),
def(_WIN32),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_PROFILE),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
True,
