!def(RISCOS),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(EBCDIC),
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_GUI),
!def(FEAT_MBYTE),
!def(LESSTIF_VERSION),
True,
def(FEAT_BEVAL),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(!def(PROTO)&!def(__BORLANDC__)),
!def(EBCDIC),
def(FEAT_DND),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
