def(FEAT_FLOAT),
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
def(NBDEBUG),
def(MAIN),
def(FEAT_BEVAL_GUI),
!def(INET_SOCKETS),
def(FEAT_FKMAP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
!def(UNIX),
def(FEAT_SUN_WORKSHOP),
def(FEAT_CLIPBOARD),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(__MINT__),
def(UNIX),
def(FEAT_PROFILE),
def(DEBUG),
def(PROTO),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_PROFILE),
def(WIN32),
def(FEAT_RIGHTLEFT),
def(_WIN32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
