def(FEAT_CLIPBOARD),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
True,
!def(NO_CONSOLE),
def(__BORLANDC__),
def(FEAT_FKMAP),
def(INET_SOCKETS),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
