!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(DEBUG),
def(FEAT_GUI),
def(PROTO),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_TRACE),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_PROFILE),
def(LESSTIF_VERSION),
def(WIN32),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
True,
def(__MINT__),
