!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(__BORLANDC__),
def(DEBUG),
!def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(NBDEBUG),
True,
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
!def(PROTO),
def(PROTO),
