!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
def(NBDEBUG),
def(PROTO),
def(FEAT_GUI_W32),
True,
!def(PROTO),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
