!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(DEBUG),
def(INET_SOCKETS),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(LESSTIF_VERSION),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(PROTO),
!def(FEAT_GUI_GTK),
