!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
def(FEAT_RIGHTLEFT),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(INET_SOCKETS),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
