!def(PROTO),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
!def(FEAT_EMACS_TAGS),
!def(NO_CONSOLE),
True,
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
def(DEBUG),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_EMACS_TAGS),
def(WSDEBUG),
def(PROTO),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
